superregion,country,age,gender,region,education,year,type,type_desc,median,upperci_95,lowerci_95,Dietary Factor
MENA,OMN,22.5,0,1,1,2018,1,1: Foods & Beverages,16.1849261438337,86.0382061174442,3.14396688442212,Whole grains
FSU,BLR,22.5,1,1,999,2018,2,2: Macronutrients,14.4127309071562,21.1698228372063,9.04399188272917,Cheese
LAC,BRA,42.5,1,0,999,2015,1,1: Foods & Beverages,76.8920978733166,87.2532552109346,68.0669613720457,Fruits
FSU,POL,17.5,0,1,999,2010,2,2: Macronutrients,46.4095505906663,47.7424789513281,44.9924312984519,Total seafoods
HIC,DEU,12.5,0,1,999,2018,1,1: Foods & Beverages,0.453657158937013,0.489336922141408,0.419950763269318,Unprocessed red meats
LAC,BRA,12.5,1,1,1,2010,1,1: Foods & Beverages,61.7197422277939,75.6140334963241,49.8682037332406,Whole grains
LAC,HND,32.5,0,1,3,2010,2,2: Macronutrients,9.831422529363127,17.6485390130636,4.35133676596876,Cheese
FSU,MNE,27.5,1,0,1,2015,1,1: Foods & Beverages,19.1246034109104,52.0075860875027,6.94517426803384,Whole grains
HIC,AUS,27.5,1,0,2,2018,1,1: Foods & Beverages,34.6344344337282,160.807213584213,7.57395043596616,Whole grains
HIC,GRC,12.5,1,0,999,2015,2,2: Macronutrients,82.2317934604192,114.823418669319,58.3383552529675,Eggs
SSA,COG,17.5,1,1,999,2010,1,1: Foods & Beverages,82.7357442316861,100.433266639278,68.2875663622023,Nuts and seeds
HIC,NZL,17.5,0,1,999,2015,2,2: Macronutrients,48.2197689819497,57.336553023641,38.5233278434323,Total seafoods
FSU,SVK,37.5,1,1,1,2018,2,2: Macronutrients,51.1627572042416,65.096316595076,35.1340243915668,Total seafoods
MENA,TUR,42.5,0,0,3,2015,2,2: Macronutrients,11.3589413023357,13.361532005196,9.538841804629612,Cheese
SSA,LBR,42.5,0,0,2,2018,1,1: Foods & Beverages,53.4906506559434,65.1469689392194,43.9752409600214,Nuts and seeds
Asia,KHM,22.5,1,0,999,2018,1,1: Foods & Beverages,0.326162781449323,0.966239405461912,0.116944221559565,Total processed meats
HIC,CYP,27.5,1,0,1,2018,1,1: Foods & Beverages,45.5144687161463,105.294914335288,18.899619159236,Whole grains
MENA,SYR,17.5,1,1,2,2010,2,2: Macronutrients,14.7285443009833,24.889670959047,7.17885819723504,Cheese
SSA,CIV,32.5,1,0,999,2010,2,2: Macronutrients,8.84431317721481,15.0768915769192,4.9304328144927,Cheese
SSA,SLE,22.5,0,0,2,2015,2,2: Macronutrients,57.8534526812865,69.4033375268501,44.492865381755,Total seafoods
HIC,LUX,12.5,1,0,1,2018,2,2: Macronutrients,54.9420867299686,67.7617863203076,40.6911919288437,Total seafoods
HIC,ESP,27.5,1,1,3,2018,1,1: Foods & Beverages,0.636619500186913,0.850886516654036,0.467554260629472,Total processed meats
SAARC,BGD,22.5,1,1,2,2018,1,1: Foods & Beverages,93.8630213747893,106.302077189858,83.3477010963007,Fruits
MENA,SAU,17.5,0,1,1,2010,2,2: Macronutrients,10.7454299310381,19.3979346971231,4.85225056547836,Cheese
SSA,ZAF,12.5,1,0,2,2010,1,1: Foods & Beverages,78.2759522025172,104.17633067253,58.259757684983,Potatoes
